domain,k_identity_dims,label,n,cv_corr,in_sample_corr
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHCK_in_g_dl,107,0.025889060841955348,0.2883157468797533
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHC _in_mmol_l,107,0.024125032458552645,0.28716560914582495
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HB_in_g_dl,109,0.023266394910739993,0.2981001693824307
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HDLC_in_mmol_l,108,0.022059436568799988,0.3311207210585211
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HCT _in_l_l,107,0.018094272578471886,0.2931986521437646
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HGBK_in_g_dl,107,0.017462864967972155,0.29072049205473316
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HGB_in_mmol_l,107,0.01676564203243843,0.2914095090571
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CKDEPI_in_ml_min_1.73m,90,0.4832786464596492,0.6560653612817312
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__GGT_in_µkat_l,108,0.3532063675204437,0.4915208521926842
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1C_in_%,109,0.2859139925966972,0.5333829433979653
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1CI_in_mmol_mol,109,0.28574097236349777,0.5332378347345097
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1G_in_g_dl,109,0.2585677183393918,0.5773809988866084
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__LDLC_in_mmol_l,108,0.251224780604073,0.50838590879715
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__PT_in_%,104,0.2270087137888927,0.49025798670187104
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__INRVOR,104,0.20993267768948873,0.4719034170145296
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__ASAT_in_µkat_l,108,0.20213189090348377,0.5131883677998209
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__INR,104,0.18445046700495707,0.47508004864607345
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CHOL_in_mmol_l,108,0.17681910826003633,0.5070242228984341
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__GLU_in_mmol_l,108,0.16120195344074703,0.4626218536533137
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CRP_in_mg_l,87,0.12960809252143363,0.24006475388689644
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HDLC_in_mmol_l,108,-0.11984373956871427,0.40881307932226607
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__PLT_in_exp_9 _l,107,-0.11969591671176387,0.31389891853344537
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__TSH_in_mU_l,108,-0.11948109097367053,0.2701764603343371
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__RDW_in_%,107,0.11689385128707938,0.45185793027590593
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__RBC_in_exp_12_l,107,-0.10785639540511721,0.378730571763157
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CRE_in_µmol_l,108,0.09482198813514733,0.44401609124896824
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCV_in_fl,107,-0.09132141228406128,0.3962076367882846
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__K_in_mmol_l,108,-0.08482697139681981,0.3587028099270162
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__TRIG_in_mmol_l,108,-0.07281005492671122,0.38140536164543876
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__ALAT_in_ µkat_l,108,0.06805054296610408,0.5555861293790815
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HB_in_g_dl,109,0.0512365643679527,0.4796608234192361
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HGB_in_mmol_l,107,0.05037296878472408,0.4130821264423395
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HGBK_in_g_dl,107,0.04591317580276784,0.4108089609626351
